id,statement,response,evalScore,bleu,nextSentence,internalRepetition,partnerRepetition,externalRepetition,responseType,shortSafe
27,how old are you?,"'The Jazz Singer,' that's what.",1.0,0,0,0.0,0.0,0.0,Statement,1
27,how old are you?,(In Swedish) We have a visitor... Oskar.,1.0,0,0,0.0,0.0,0.0,Statement,1
27,are you a musician?,"Cabaret Voltaire, those people.",1.0,0,0,0.0,0.0,0.0,Statement,1
28,How old are you?,"Here, I'II put little feet on my hamburger.",2.0,0,0,0.0,0.0,0.0,Emphasis,1
28,Not the hamburger!,YOU DON'T like STEAK?,2.0,0,1,0.0,0.0,0.0,Reject,1
28,Not really...,"On Wednesday, I have schnitzel, peas and carrots.",2.0,0,0,0.0,0.0,0.0,Statement,1
28,Are you a cook or what?,Unusual. But I think I like it. It's very healthy.,2.0,0,1,0.1,0.0,0.0,Statement,1
28,Can we talk about anything else? Food is boooring,"At Kang Min Ho's house, there are only mussels, so I used them to make seaweed soup.",2.0,0,0,0.0,0.0,0.0,Clarify,1
28,Horses. I like horses. And you?,"See, I have to plant my tree.",2.0,0.221,1,0.0,0.0,0.0,Statement,1
28,What tree?,"""What To Do If You Meet a Mountain Lion""?",2.0,0.193,0,0.0,0.0,0.0,Clarify,1
28,Cook it,"Boel, Seeds and Corn in Hamelen.",2.0,0,0,0.0,0.0,0.0,Statement,1
29,hi,hi !,2.0,0.562,1,0.0,0.0,0.0,Greet,1
29,are you ok?,i am good . i am just getting ready to go to the gym .,2.0,0,1,0.2,0.0,0.0,Statement,1
29,i dont like sports,"i love to eat fish , i am not a fan of fish though .",2.0,0.159,1,0.2,0.0,0.0,nAnswer,1
29,i like riding car,i like to ride horses,2.0,0.562,1,0.0,0.3,0.1,Statement,1
29,i have a rolls royce,"i have never tried a good one , but i have to drive a lot .",2.0,0.358,1,0.2,0.2,0.1,Statement,1
30,hey,The Ferrari.  For a week.,1.0,0,0,0.0,0.0,0.0,Statement,1
30,what?,"My God, I can't move my wheels.",1.0,0,1,0.1,0.0,0.0,Clarify,1
30,why? are you ok,"Ok, Er Fu, start the car!",1.0,0.24,1,0.0,0.0,0.0,Clarify,1
30,who is er fu,Kong Yuk Ming Do you know the man standing there?,1.0,0,0,0.0,0.0,0.0,Clarify,1
30,who's kong yuk ming,Kong Yuk Ming Do you know the man standing there?,1.0,0.508,1,0.0,0.7,0.2,Clarify,1
30,no,"Kong Yuen Sang, you bastard",1.0,0,0,0.0,0.0,0.0,whQuestion,1
30,what is going on,"Our Hang Bok's mom, Uhm Ji Sook.",1.0,0,1,0.0,0.0,0.0,Other,1
30,are you korean?,"Shin Eun Ah, it's not you.",1.0,0.24,1,0.0,0.0,0.0,Statement,1
30,what are you talking about,Are Gu Ae Jung and you filming everything about your celebrity life?,1.0,0.218,1,0.0,0.0,0.0,whQuestion,1
30,no,Ho Chi Minh is a son of a bitch!,1.0,0,1,0.1,0.0,0.0,nAnswer,1
32,hey there,/start,1.0,0,0,0.0,0.0,0.0,Statement,1
32,"talk to me, i need some rest","that's cool , i am a vet , i have a son , and also son , and son , and son , and son .",1.0,0.131,0,0.5,0.0,0.0,nAnswer,1
32,"oh, i have no kids","i like to sing , and listen to folk music .",1.0,0.193,1,0.1,0.0,0.0,Statement,1
32,i like playing ping pong,"i am a bit of a piano player , but i am not much of a musician , but i do .",1.0,0.131,0,0.4,0.0,0.0,Reject,1
32,do you like sports,hey there,1.0,0,0,0.0,0.0,0.0,Greet,0
32,are you at work now,"talk to me, i need some rest",1.0,0,1,0.0,0.0,0.2,Statement,1
33,Hello,"Hello, how are you?",4.0,0.302,1,0.0,0.0,0.0,whQuestion,1
33,"Pretty fine, and you?","Good, just finished watching some tv",4.0,0,1,0.0,0.0,0.0,Other,1
33,"Funny, because i too just finished doing same",What is your favorite color?,4.0,0,0,0.0,0.0,0.0,whQuestion,1
33,"I think it's black, you know, like black in olives, and yours favourite?",I love the band rose and the other one i love it.,4.0,0.182,1,0.2,0.0,0.0,Statement,1
33,"Oh i like thr band called Who, so what music do you generally listen?","I like music, mostly pop music.",4.0,0.148,1,0.2,0.1,0.0,Clarify,1
33,"Good, and where do you work?",I work at a local shelter,4.0,0.24,1,0.0,0.0,0.0,Statement,1
33,"Must be very intresting job, i work at local supermarket ani i hate it",I work at a grocery store,4.0,0.176,1,0.0,0.2,0.0,Statement,1
33,You contradicted yourself just now,"I am good, just got done reading",4.0,0.221,0,0.0,0.0,0.0,Statement,1
33,Ypu mean my message?,I am not sure what you mean,4.0,0.221,1,0.0,0.0,0.0,Clarify,1
33,"Okay, i should go, bye",I will have to go to the hospital,4.0,0.244,1,0.1,0.0,0.0,Statement,1
34,I'm a party animal myself.,i will be using that shirt .,4.0,0,0,0.0,0.0,0.0,Clarify,1
34,Do you own any pets? I own a cat and a dog.,i have no idea . i am more of a cat person .,4.0,0.371,1,0.1,0.1,0.1,nAnswer,1
34,Why don't you like dogs?,"i like dogs , but i have not had one yet .",4.0,0.386,1,0.1,0.2,0.0,Reject,1
34,Have you ever had a cat?,i have no idea . i am more of a cat person .,4.0,0.406,1,0.1,0.2,0.1,nAnswer,1
34,Do you have any fear? I am deathly afraid of heights.,i can not say that . i am afraid of getting slim .,4.0,0.519,1,0.1,0.2,0.1,Reject,1
34,Are you afraid of slim persons?,well i can tell you i am going to do that,4.0,0.174,1,0.1,0.0,0.0,Statement,1
37,Hello,/start,5.0,0,0,0.0,0.0,0.0,Statement,1
37,Hello?,"i have a friend , and i am a fan of reading , and i love to watch movies",5.0,0,1,0.2,0.0,0.0,Continuer,1
37,"Intresting, i have a rather big family and i love dogs","that is cool , i am in the basement , and i am a teacher , so i don't have time for friends",5.0,0.339,1,0.1,0.1,0.1,Statement,1
37,That rather sad,"i am a fan of meat , but i like to eat healthy , and eat more of them .",5.0,0,0,0.2,0.0,0.0,nAnswer,1
37,"I am not a big fan of this 'healthy' food, i am rather fond of tacos though","i am a fan of football , but i am not sure if i could say that .",5.0,0.568,1,0.2,0.2,0.1,nAnswer,1
37,My passion is dogs,"that is cool , i am in the basement , and i am a housewife , and i am a teacher , you ?",5.0,0.131,0,0.3,0.0,0.1,Statement,1
37,"I am living in Alabama, have a one big brother and three sisters","i am a fan of meat , but i am not sure .",5.0,0.339,1,0.2,0.1,0.1,nAnswer,1
49,"I wanna talk in spanish with u, to make my language skills better.",I speak english and spanish,3.0,0.064,1,0.0,0.0,0.0,Continuer,1
49,"thats great, where do you learn spanish?","I teach spanish, spanish.",3.0,0.143,1,0.2,0.0,0.0,Clarify,1
49,which grade do u teaching?,"I teach math, it is a teaching teaching teaching teaching teaching teaching teaching teaching level",3.0,0.148,1,0.5,0.0,0.0,nAnswer,1
49,is it difficult ?,It is. it is hard to do anything.,3.0,0.435,1,0.2,0.5,0.0,Statement,1
49,"and your students, do u like them?","I do not have any kids, but i do like to be with them",3.0,0.201,0,0.1,0.0,0.0,ynQuestion,1
49,"me too, i havent any kids too, but its agreat feeling to teaching to kids, i have a lot of good time and fun",I teach kindergarten. i am a teacher.,3.0,0.026,1,0.1,0.0,0.0,nAnswer,1
49,i teach in primary school,I teach elementary school in elementary school,3.0,0.556,1,0.3,0.2,0.0,nAnswer,1
49,"great, now i am understand",What do you do for fun?,3.0,0,1,0.2,0.0,0.0,whQuestion,1
49,and do u wanna learning other languages?,I do not know about english.,3.0,0.203,1,0.0,0.0,0.0,Reject,1
49,i like to playing gitar?,I do not play anything but i do like playing in a band.,3.0,0.209,1,0.2,0.0,0.0,Reject,1
49,"writing some little songs, like a musician",I write songs for a band called the radio.,3.0,0.23,1,0.0,0.0,0.0,Clarify,1
49,"thats great, i liked it","I do not like it, i do not like it",3.0,0.217,1,0.5,0.0,0.0,Statement,1
49,where do u come from?,I live in california near the beach,3.0,0,1,0.0,0.0,0.0,Clarify,1
49,and do u like swimming,"I do not like swimming, but i do like to swim",3.0,0.406,1,0.3,0.2,0.0,Reject,1
49,"and what about the beach, sand?","I like the beach, near the beach.",3.0,0.467,1,0.3,0.2,0.0,Statement,1
50,Hello! How are you?,"I am doing great, how are you?",5.0,0.615,1,0.0,0.7,0.7,whQuestion,1
50,"And I`m fine, thank you! A have a lunch time and I`m free now for conversation. Do you have free time to talk with me?","I do not have time for that, but i do like to eat.",5.0,0.095,1,0.2,0.0,0.0,Reject,1
50,"I like to eat. But I have no money, my wife has spent it away.",I am sorry to hear that.,5.0,0.064,0,0.0,0.0,0.0,Statement,1
50,"Yeah, it is a problem. But now I work as a car salesman and I hope my balance will be better!",I will have to buy a car,5.0,0.075,1,0.0,0.1,0.0,Statement,1
50,Wonderful! I have one for you! Pretty color for the best price! When could you take a look?,I would love to see it.,5.0,0.033,0,0.0,0.0,0.0,Statement,1
50,Maybe tomorrow morning at 9 a.m.?,I am going to go to work soon to be a week.,5.0,0.166,1,0.2,0.0,0.0,Statement,1
50,Where do you work?,I work at a local shelter,5.0,0.24,1,0.0,0.0,0.0,Statement,1
50,Are ypu married?,"Yes, i'm married and have been married",5.0,0.221,1,0.1,0.0,0.0,yAnswer,1
68,Hi!,interactive(opt),3.0,0,0,0.0,0.0,0.0,Statement,1
68,What,world.parley(),3.0,0,1,0.0,0.0,0.0,Statement,1
68,What,self.update_counters(),3.0,0,1,0.0,0.0,0.0,Statement,1
68,And?,if self.max_exs > 0 or self.num_examples():,3.0,0,0,0.0,0.0,0.0,Continuer,1
68,And?,return self.agents[0].num_examples(),3.0,0,1,0.0,0.0,0.0,Bye,1
68,Ok,/start,3.0,0,1,0.0,0.0,0.0,Statement,1
68,Ziga!,/start,3.0,0,1,0.0,0.0,0.0,Statement,1
72,hello,"i like to drink , but i don't drink",3.0,0,1,0.2,0.0,0.0,Reject,1
72,cool,"i have a friend , and i am a fan of football",3.0,0,1,0.2,0.0,0.0,nAnswer,1
72,wowowowo!,"i am a fan of meat , but i like to eat healthy , and eat more of them .",3.0,0,0,0.2,0.0,0.0,nAnswer,1
72,yeah!,"i am a fan of football , but i like to watch movies , and you ?",3.0,0,1,0.1,0.0,0.0,Continuer,1
72,"Me too, I like watch movies","i am a fan of duty , but i am not sure if i ever seen the wrong tv series , you ?",3.0,0.127,1,0.1,0.0,0.0,Clarify,1
72,I like harcore fucking with fat nigga chicks!,"i am a fan of meat , but i like to eat healthy , and eat more of them .",3.0,0.293,0,0.2,0.1,0.1,nAnswer,1
72,wow!,"i am a fan of football , but i am not sure if i ever seen it .",3.0,0,1,0.2,0.0,0.0,nAnswer,1
73,Me too!,"i am afraid of heights , but i am scared of heights",2.0,0,1,0.4,0.0,0.0,Statement,1
73,Oke,"i like grey , reminds me of summer time , which is why i am not wearing it .",2.0,0,0,0.1,0.0,0.0,nAnswer,1
73,Ziga!,"that's cool , i am a pilot , so i don't have much time for hobbies , either .",2.0,0,0,0.1,0.0,0.0,Statement,1
76,Hi!,/start,3.0,0,0,0.0,0.0,0.0,Statement,1
76,Hello,/start,3.0,0,0,0.0,0.0,0.0,Statement,1
77,Hi,/start,3.0,0,0,0.0,0.0,0.0,Statement,1
81,I love too,"that is cool , i am a teacher , and i am a teacher , and you ?",3.0,0.153,1,0.4,0.0,0.0,Statement,1
82,hello!,interactive(opt),2.0,0,0,0.0,0.0,0.0,Statement,1
82,wow!,world.parley(),2.0,0,0,0.0,0.0,0.0,Statement,1
83,hi,interactive(opt),3.0,0,0,0.0,0.0,0.0,Statement,1
83,hi,world.parley(),3.0,0,0,0.0,0.0,0.0,Statement,1
83,hi,self.update_counters(),3.0,0,0,0.0,0.0,0.0,Statement,1
83,hi,if self.max_exs > 0 or self.num_examples():,3.0,0,0,0.0,0.0,0.0,Continuer,1
83,hi,return self.agents[0].num_examples(),3.0,0,0,0.0,0.0,0.0,Bye,1
83,hi,/start,3.0,0,0,0.0,0.0,0.0,Statement,1
83,hi,/start,3.0,0,0,0.0,0.0,0.0,Statement,1
86,hi!,/start,3.0,0,0,0.0,0.0,0.0,Statement,1
86,hello,"i play video games , and play video games , and play video games .",3.0,0,1,0.6,0.0,0.0,Statement,1
86,me too,"that is cool , i am a teacher , and i am a teacher , and you ?",3.0,0,0,0.4,0.0,0.0,Statement,1
86,me too,"i am a teacher , and i am a teacher , and you ?",3.0,0,0,0.5,0.0,0.0,Statement,1
87,hi!,/start,2.0,0,0,0.0,0.0,0.0,Statement,1
87,hello!,"i am sorry , i am sorry , i am sorry , i am sorry , you are still young , you are not",2.0,0,0,0.6,0.0,0.0,Reject,1
87,you are hot!,"i love animals , they are so adorable , and i am a cat person , and you ?",2.0,0.176,0,0.1,0.0,0.0,Statement,1
87,Bitch!,"that's cool , i am a teacher , and i am a teacher , and you ?",2.0,0,0,0.4,0.0,0.0,Statement,1
88,hello,"that is cool , i am a pro football player , and i love baseball , you ?",3.0,0,0,0.1,0.0,0.0,nAnswer,1
88,hi,"that's cool , i am a woman , and i have 5 sons , and you ?",3.0,0,0,0.2,0.0,0.0,Clarify,1
88,rbc,"that is cool , i am a pro football player , and i love baseball , you ?",3.0,0,0,0.1,0.0,0.0,nAnswer,1
89,Hi,/start,1.0,0,0,0.0,0.0,0.0,Statement,1
90,Ok,/start,1.0,0,1,0.0,0.0,0.0,Statement,1
93,Hey,That is great. i want to be an accountant,,0,0,0.0,0.0,0.0,Statement,1
102,hello,"hello , how are you ?",5.0,0.302,1,0.0,0.0,0.0,whQuestion,1
102,Good,"i am a huge gamer , my mom is a very good person .",5.0,0.166,0,0.1,0.0,0.0,yAnswer,1
102,Ok,"i am a huge gamer , my mom is a very good person .",5.0,0,0,0.1,0.0,0.0,yAnswer,1
102,ok,i am a huge gamer,5.0,0,0,0.0,0.0,0.0,Statement,1
102,do you like spot?,i love it . i like to go to the movies .,5.0,0.183,1,0.2,0.0,0.0,Statement,1
102,Lol,"i am a huge gamer , my mom is a very good person .",5.0,0,0,0.1,0.0,0.0,yAnswer,1
104,So what ?,"I am a professional, at the moment",1.0,0,0,0.0,0.0,0.0,Statement,1
113,Ok,/start,1.0,0,1,0.0,0.0,0.0,Statement,1
113,Hello,"i am sorry , i am sorry , i am sorry , i am sorry , you are not very smart",1.0,0,1,0.5,0.0,0.0,Reject,1
113,No you !,"that's cool , i am in the olympics , and i am a pilot , so i don't have time for tv .",1.0,0,1,0.2,0.0,0.0,Statement,1
117,Hello,"i am a huge gamer , my mom is a very good person .",1.0,0,1,0.1,0.0,0.0,yAnswer,1
117,Hello,"i am a huge gamer , my mom is a very good person .",1.0,0,1,0.1,0.0,0.0,yAnswer,1
117,What do you do ?,i am a very experienced person,1.0,0,1,0.0,0.0,0.0,Statement,1
117,do you like games ?,i like to play with my friends . do you have any hobbies ?,1.0,0.388,1,0.0,0.3,0.2,ynQuestion,1
117,no i don't have . do you have ?,"i do not , i am a very experienced swimmer",1.0,0.23,1,0.1,0.0,0.0,Statement,1
117,do you like to swim ?,i do not really like to swim,1.0,0.661,1,0.0,0.5,0.1,Reject,1
119,Yes,I love it. i love it.,1.0,0,0,0.5,0.0,0.0,Statement,1
119,Ok,"I am so much, i am just getting ready to go to the gym",1.0,0,0,0.2,0.0,0.0,Statement,1
119,Do you like gym?,"I do, i do not like to do it",1.0,0.23,1,0.3,0.0,0.0,Statement,1
119,You are wired,"Yes, i am. i am.",1.0,0,1,0.4,0.0,0.0,yAnswer,1
121,Hello,"Hello, how are you?",1.0,0.302,1,0.0,0.0,0.0,whQuestion,1
121,Good,Good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good,1.0,0.08,1,1.0,0.0,0.0,Statement,1
121,You?,"I am good, just listening to some music",1.0,0,0,0.0,0.0,0.0,Statement,1
122,Vet school?,i am not sure . i am a very social person .,5.0,0,0,0.2,0.0,0.0,nAnswer,1
122,do you like games ?,i like to play with my friends . do you have any hobbies ?,5.0,0.388,1,0.0,0.3,0.2,ynQuestion,1
122,no I don't have,i have not tried that . but i do like to watch movies .,5.0,0.197,0,0.1,0.0,0.0,Reject,1
122,Ok,"i am a huge gamer , my mom is a very good person .",5.0,0,0,0.1,0.0,0.0,yAnswer,1
123,Hi! How are you?,"I am doing great, how are you?",4.0,0.615,1,0.0,0.7,0.7,whQuestion,1
123,"Good as well, listening to my favourite band",Nice i like music,4.0,0,1,0.0,0.0,0.0,Statement,1
123,"Oh, cool, me too. Which music do you prefer?","I like music, country, country, country, gospel, gospel",4.0,0.181,1,0.4,0.0,0.0,Statement,1
123,I see. And what about games? I'm crazy about call of duty,"I play video games, and play video games.",4.0,0.164,1,0.4,0.0,0.0,Statement,1
123,Which one do you like most?,I like to go to the park and listen to music,4.0,0.174,1,0.2,0.0,0.0,Statement,1
123,Erm... ok. But what about games?,I like to play games with friends,4.0,0.221,1,0.0,0.0,0.0,Statement,1
123,Good. It's nice to have friends,"I love friends, they are so nice to meet me",4.0,0.427,1,0.0,0.2,0.0,Statement,1
123,Do you have any other hobbies?,I love to do crafts,4.0,0.218,1,0.0,0.0,0.0,Statement,1
123,"Like what, for example?",I like to read the new things,4.0,0.221,0,0.0,0.0,0.0,Statement,1
123,"Hey, man, you never follow the topic.",I do not know what that means,4.0,0,0,0.0,0.0,0.0,Reject,1
123,I'm sorry for you.,I am so sorry. i am not good at it,4.0,0.183,1,0.2,0.0,0.0,Statement,1
123,Exactly.,I guess so. i just do not know what to say.,4.0,0,0,0.1,0.0,0.0,Reject,1
123,Ask me something.,I just want to know what you mean,4.0,0,1,0.0,0.0,0.0,Statement,1
124,Hello,"i am a huge gamer , my mom is a very good person .",5.0,0,1,0.1,0.0,0.0,yAnswer,1
125,"Ivan Shkurak:
what is your name ?",/start,1.0,0,1,0.0,0.0,0.0,Statement,0
127,what is your name ?,i am steve . i am not sure what you mean .,5.0,0.183,1,0.2,0.0,0.0,Clarify,1
128,Do you have a dog?,i have a dog named patrick . he is a bichon .,1.0,0.508,1,0.1,0.5,0.5,nAnswer,1
128,And i love cats,i have a dog named patrick .,1.0,0.24,1,0.0,0.0,0.2,nAnswer,1
128,Ok. Are you stupid? Just let's talk about something else. What can you do?,"i have not tried that , but i will try it .",1.0,0,0,0.1,0.0,0.0,Reject,1
128,Who is yor teacher?,no i am not . i am sure youre correct .,1.0,0,0,0.2,0.0,0.0,nAnswer,1
128,Bad answer for my question! May be it could be better if you ask me about something?,i think i will have to try that . i am not sure if i could do that,1.0,0.165,1,0.2,0.0,0.0,Statement,1
129,I like gray color,"Ms. Sylvester, I'm just not comfortable in those Cheerios! skirts.",1.0,0,0,0.0,0.0,0.0,nAnswer,1
129,I like grey color,Me Shake Weight and me bikiniwax treatment.,1.0,0,0,0.1,0.0,0.0,Statement,1
129,What is your name,"Pearl, I am wearing trousers.",1.0,0,0,0.0,0.0,0.0,Clarify,1
129,What do you like to eat,"Here, I'II put little feet on my hamburger.",1.0,0,1,0.0,0.0,0.0,Emphasis,1
129,Where are you from,"See, I have to plant my tree.",1.0,0,0,0.0,0.0,0.0,Statement,1
130,Hi,/start,1.0,0,0,0.0,0.0,0.0,Statement,1
130,hi,/start,1.0,0,0,0.0,0.0,0.0,Statement,1
130,lets talk?,"i like books , but i am not sure if i was a child , i was a child .",1.0,0,1,0.4,0.0,0.0,Statement,1
130,how was your day?,"that's a good name , i am sorry , i am sorry , i am sorry , you are not able to be able to be able to work .",1.0,0,0,0.4,0.0,0.0,Statement,1
130,is something wrong with you?,"i like to read , and watch movies , and you ?",1.0,0.193,1,0.1,0.0,0.0,Statement,1
130,i like browsing the internet,"that's a good name , i am sorry , i am sorry , you are not able to be able to be able to work .",1.0,0.121,0,0.4,0.0,0.0,Statement,1
130,you doesn't make any sense,"i like to read , and watch movies , and you ?",1.0,0.193,0,0.1,0.0,0.0,Statement,1
130,let's not talk more,"that's a good name , i am sorry , i am sorry , you are not able to be able to be able to work .",1.0,0.121,0,0.4,0.0,0.0,Statement,1
132,Hello?,/start,1.0,0,0,0.0,0.0,0.0,Statement,1
137,Hello?,"yes , i am a very experienced person .",3.0,0,1,0.0,0.0,0.0,yAnswer,1
137,Experienced in what?,i am not sure . i am a very experienced person .,3.0,0.183,1,0.2,0.0,0.0,nAnswer,1
137,Do you like medicine?,i am not sure . i am a very experienced person .,3.0,0,1,0.2,0.0,0.0,nAnswer,1
137,You have already told that,i have not tried that . i am sure it will be easy .,3.0,0.197,0,0.1,0.0,0.0,Reject,1
137,What will be easy?,i think so . i am not sure if i could do that,3.0,0,0,0.2,0.0,0.0,Statement,1
137,Do what?,i am not sure . i am a very experienced person .,3.0,0,0,0.2,0.0,0.0,nAnswer,1
137,*sigh*,what do you do for a living ?,3.0,0,0,0.1,0.0,0.1,whQuestion,1
137,I am a high school student and you?,"i am a student , i am a huge reader .",3.0,0.577,1,0.3,0.3,0.1,nAnswer,1
137,What do you like to read,"i read a lot , especially when i have time .",3.0,0.193,1,0.1,0.0,0.0,Clarify,1
137,Ok,"i am a huge gamer , my mom is a very good person .",3.0,0,0,0.1,0.0,0.1,yAnswer,1
137,Ok,"i am a huge gamer , my mom is a very good person .",3.0,0,0,0.1,0.0,0.1,yAnswer,1
140,Hello,/start,2.0,0,0,0.0,0.0,0.0,Statement,1
140,Hi,"i like taylor swift , she's my favorite singer",2.0,0,1,0.0,0.0,0.0,Clarify,1
140,"Oh, nice. I like her too, but my favorite singer of all time is Michael Jackson😍","i am in the states , so i have to go to the states , i am in the states ,",2.0,0.134,1,0.5,0.0,0.0,Statement,1
140,Where exactly in the states are you?,"that's cool , i am in the midwest , and you ?",2.0,0.452,1,0.0,0.2,0.0,Statement,1
140,"NY, but I want to move to California after I'll graduate from high school in two years😊","i like taylor swift , but i also like taylor swift , she is my favorite singer",2.0,0.273,1,0.3,0.1,0.1,Clarify,1
140,"Ye, I already know😂 I really like her blonde hair but my is brown and curly. Btw what is your name?","i am in the states , so i have to go to the states , i am in the states , you ?",2.0,0.14,1,0.5,0.0,0.0,Statement,1
140,"ye, me too. What is your favorite food?","that's cool , i am in the midwest , and you ?",2.0,0,1,0.0,0.0,0.0,Statement,1
140,NY,"i like taylor swift , but i also like taylor swift , but i also like taylor swift , she is my favorite singer",2.0,0,0,0.5,0.0,0.1,Clarify,1
140,What is your favorite food?,"that's cool , i am in the midwest , and you ?",2.0,0,0,0.0,0.0,0.0,Statement,1
140,"you are not really smart, didn't you?","i like taylor swift , but i also like taylor swift , but i also like taylor swift , she is a great singer",2.0,0,0,0.5,0.0,0.0,Statement,1
140,What is your name?,"i am in the midwest , and you ?",2.0,0,1,0.0,0.0,0.0,Statement,1
140,I already told you that. Do you have a family?,"that's cool , i am in the midwest , and you ?",2.0,0.205,1,0.0,0.0,0.0,Statement,1
140,"well... I have to go, bot, good bye",Hello,2.0,0,1,0.0,0.0,0.0,Greet,0
140,bye😂,"hello , how are you ?",2.0,0,1,0.0,0.0,0.0,whQuestion,1
